review,label
有八卦图的味道，有创意。忙活一上午饿了！连吃饭都忘记了！客人走了！想起来午饭没吃！还有昨天剩的饼！简单的做了素炒饼！填饱肚子在干活吧！鸡蛋纯是为了好看！鸡蛋是笨鸡蛋！,开心
救命~~~傳説中的真面目~~噗。。这是什么鬼笑啊！,惊讶
。版还珠格格《容嬷嬷之扎针记》,困惑
同步协调率100%娘亲啊这同步率真是想让人报复色会了！赞！送乖囡神曲~爱情买卖之自恋刑警合拍……-_-,激动
这视频我终于找到了...猫的眼睛一直放电呢..黄晓明为北京春晚做准备,好奇
大家都为此疯狂··麦当劳于圣诞期间，推出四款Hello公仔，只要任何消费加12蚊就可以得啦，大家想要吗？（via@月芃),期待
不要让我再写文化的稿子了！！！,不满
爱一直闪亮……自动亮比较吓人，关键是有生命危险。男员工正和老板那装孙子呢，转眼看到老板娘灯就亮了；首长检阅了女兵部队，浑身哔哔哔哔闪了不停，，，，太难为情了“大哥，你知道哪儿有卖纽扣电池的吗？”,挑衅
啊啊啊我吃了不该吃的东西。。好难过我好想吐啊啊啊,伤心
我突然发现废品回收对新小区，特别是远离主城区的新小区好像是个大问题？当然大多数业主不在乎，,困惑
处女座光荣上棒...永远做不了坏女人的星座女和最有赚钱头脑的星座咯。。。。。天蝎座。,崇拜
地球快毁灭吧艹!!!!城管，我擦你大爷，怎么不去shi！！！！我这是忍耐你们第二次了，话说“城管改不了吃屎”，这句是真的。可怜的生命就这么被剥夺了。气氛！！！！！！！！！！正好满肚子火没地方撒呢看城管如何捕杀刚刚产子的母狗，小狗狗好可怜@韩毛毛,生气
真是人民日报日人民，为人民着想啊“使用iPad源自跟风心理！！！！！！！”冷兔看到红线地方，内牛满面,好奇
那是鼻子，不是嘴。那最性感的还当属八戒不是说厚嘴唇性感吗？原来李兄认为骆驼嘴很美，哈哈~~吃天鹅脖子，吃斑马腿，吃蜜蜂腰，骆驼嘴！原来这样，看来我吃猪肉太多了！李时珍说，“猪，吃不择食，卧不择埠，目不观天，行如病夫。其性淫，其肉寒，其形象至丑陋，一切动物莫劣于此，人若食之恐染其性”，“猪肉苦微寒，有小毒”，“猪肉毒唯在其首”，“猪肉能闭血脉，弱筋骨，虚人肌”，“猪心多耗心气”，“猪临杀惊气归心，绝气归肝，俱尔可食，食必伤人”。,无语
我等朝廷大员岂可与此竖子为伍！感觉看不见了，呵呵薄熙来韩寒候选时代周刊全球最具影响力人物。美国《时代》周刊最新启动的一年一度的100位“全球最具影响力人物”评选公布“全球最具影响力人物”200名候选人名单，包括国务院副总理王岐山、重庆市委书记薄熙来、百度总裁李彦宏、台湾宏碁集团行政总裁王振堂、青年作家韩寒等多名中国人成为候选人。,骄傲
乖乖的韩小妞天下第一转！原版与Q版,崇拜
每一天都是暂新的Miracleshappeneveryday(奇迹每天都在发生)——《阿甘正传》。明天又是充满奇迹的一天！各位，晚安。,期待
啊啊啊啊啊啊啊啊啊啊啊啊啊~话说刚来我家做人口普查的那个男的真帅！！！！！！！哈哈哈哈他说他23号还要再来一次，做详细的调查~我真高兴，哈哈哈哈哈,崇拜
